,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
92,43,24,49,25,0.7553776888444221,0.7173586793396698,0.785392696348174,0.06803402039999999,3036.4057950257807,4.080007835185765,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
93,43,36,52,16,1.92296148074037,1.8819409704852426,1.9569784892446223,0.0750375225,5642.019007450208,7.581161185495767,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
94,49,42,59,17,0.7063531765882941,0.656328164082041,0.7463731865932965,0.090045027,2789.9873574435505,3.8988848429167464,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
95,59,9,78,69,0.05302651325662831,0.03601800900450225,0.07503751875937968,0.039019511699999995,7385.507846361997,9.49418115915847,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
96,59,49,80,22,0.56128064032016,0.5352676338169085,0.5842921460730365,0.049024514699999994,3379.859220867268,4.3448597446379615,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
97,59,47,76,29,1.0475237618809403,1.0205102551275638,1.0685342671335667,0.048024014399999995,5493.926040125377,7.062524363258506,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
98,60,18,78,60,0.055027513756878435,0.03801900950475237,0.07603801900950474,0.0380190114,7390.5801738323025,9.500604212986664,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
99,64,55,80,20,0.9984992496248123,0.9764882441220609,1.070535267633817,0.0940470282,3216.0005555554494,4.169496109488583,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
100,66,56,76,20,1.697848924462231,1.6738369184592294,1.7328664332166082,0.05902951769999999,3256.208331502066,4.2355308851981475,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
101,72,61,80,24,0.882441220610305,0.8594297148574287,0.9044522261130564,0.0450225135,4946.520599000868,6.497539373743896,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
102,75,54,80,44,0.9994997498749374,0.9874937468734366,1.0115057528764382,0.024012007199999998,3033.4949600686646,3.985725391977049,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
103,77,64,80,28,0.7323661830915458,0.7133566783391695,0.7523761880940469,0.039019511699999995,2681.6307621670394,3.513313435973436,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
104,78,65,80,28,1.728864432216108,1.712856428214107,1.7478739369684841,0.035017510499999994,3634.4010602486796,4.754952936318903,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
105,80,73,80,16,0.32716358179089544,0.3081540770385192,0.3461730865432716,0.0380190114,3191.825155860621,4.175278489475042,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
106,80,67,80,28,0.4092046023011505,0.3911955977988994,0.4242121060530265,0.0330165099,3220.723417779938,4.213080776719189,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
107,80,68,80,26,0.6643321660830415,0.6503251625812906,0.7523761880940469,0.1020510306,2587.1014454310707,3.3842295513475893,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
108,80,69,80,24,1.1315657828914456,1.1125562781390694,1.151575787893947,0.039019511699999995,5722.631618722951,7.485867656933477,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
109,80,74,80,14,1.4847423711855927,1.471735867933967,1.5007503751875937,0.029014508699999997,2553.5296352818555,3.3403137195197132,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
110,80,68,80,26,1.794897448724362,1.780890445222611,1.8089044522261128,0.0280140084,4334.589447414673,5.670147077845228,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
111,80,69,80,24,1.8779389694847421,1.8629314657328664,1.8969484742371183,0.034017010199999996,2581.147628228855,3.3764412660622773,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
112,33,27,38,11,0.34817408704352176,0.2511255627813907,0.39619809904952474,0.14507254349999998,3445.4468662322283,4.129847232880531,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
113,34,29,40,11,0.337168584292146,0.24712356178089043,0.3951975987993997,0.1480740444,3474.571426949243,4.185602866182284,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
114,35,28,41,13,1.0115057528764382,0.9754877438719359,1.0475237618809403,0.0720360216,3656.4344720712793,4.442112650363375,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
115,37,32,42,10,0.2791395697848924,0.2321160580290145,0.34717358679339666,0.11505753449999999,4417.879551696112,5.457299839688487,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
116,37,31,80,14,1.2276138069034517,1.184592296148074,1.2586293146573286,0.0740370222,6827.6780028643125,8.434065626839216,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
